NOI389.1,GPA.208,RC15.08,RC272.99,XR15.40,XR273.06,RCAA-3.03,XR+-2.92,RCWIN-0.35,XRWIN-0.34,BABIP.250
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.42,0.068,12.27,5.11,0.120,55.33,0.211,0.530,0.00,29.3%,
