打率.211,試合66,打席184,打数166,得点18,安打35,内安1,内安率2.9,２Ｂ11,３Ｂ0,本塁3,HR勝敗0-2-1,塁打55,打点20,三振36
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
15,0,1,1,1,0,0,-,7,0,3,.333,.279,.331,.610
