左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
27.9% (36),27.9% (36),27.9% (36),22.5% (29),22.5% (29),22.5% (29),49.6% (64),49.6% (64),49.6% (64)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
25.0% (8),0.0% (0),29.8% (28),31.3% (10),33.3% (1),19.1% (18),43.8% (14),66.7% (2),51.1% (48)
