球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,268,40.9%,148.4,10,40,61,95,41.4%,7.5%,0.277,65,18,2,4,9,1
フォーク,76,11.6%,137.9,15,7,19,26,53.9%,34.9%,0.056,18,1,1,10,1,0
スライダー,73,11.1%,129.4,15,19,6,26,54.8%,53.6%,0.059,17,1,0,10,0,0
カットボール,57,8.7%,139.6,1,8,12,18,36.8%,3.2%,0.3,20,6,0,2,0,0
チェンジアップ,43,6.6%,135.7,11,4,6,14,48.8%,44.0%,0.167,12,2,0,4,1,0
ツーシーム,38,5.8%,146.5,4,4,10,16,47.4%,22.2%,0.2,5,1,0,1,3,0
カーブ,36,5.5%,116.3,3,8,4,12,41.7%,18.8%,0.111,9,1,0,0,0,0
スプリット,30,4.6%,139.3,3,5,5,9,43.3%,18.8%,0.182,11,2,0,3,1,0
ナックルカーブ,15,2.3%,127.8,1,2,3,5,40.0%,12.5%,0.4,5,2,0,1,0,0
縦スライダー,13,2.0%,131.1,2,3,4,4,69.2%,33.3%,0.0,1,0,0,1,0,0
シンカー,3,0.5%,128.0,0,0,0,2,0.0%,0.0%,0.0,1,0,0,0,0,0
シュート,2,0.3%,139.0,0,0,0,1,0.0%,0.0%,1.0,1,1,0,0,0,0
パワーカーブ,1,0.2%,128.0,0,0,0,0,0.0%,0.0%,0.0,1,0,0,0,0,0
