種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,0.79,29,0,29,0,1,17,0,17,0,0,1,22.2,20,1,15,9,0,3,2,1.28,0.244,-,7.56
Visitor,3.21,33,0,33,1,2,19,0,20,1,1,2,28.0,25,2,23,11,2,10,10,1.29,0.253,-,2.8
