NOI182.1,GPA.094,RC-0.47,RC27-0.35,XR-0.23,XR27-0.17,RCAA-4.36,XR+-4.15,RCWIN-0.51,XRWIN-0.49,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.07,0.025,41.00,2.93,0.000,-,0.029,0.167,-,36.6%,
