条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.205,230,219,45,7,1,5,49,10,0,1,0
対左打者,0.2,188,175,35,8,0,2,45,10,1,2,0
