NOI430.0,GPA.227,RC6.38,RC273.52,XR6.40,XR273.53,RCAA-0.17,XR+-0.19,RCWIN-0.02,XRWIN-0.02,BABIP.313
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.43,0.065,11.50,4.93,0.079,63.00,0.159,0.531,0.00,30.4%,
