左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
40.8% (20),40.8% (20),40.8% (20),22.4% (11),22.4% (11),22.4% (11),36.7% (18),36.7% (18),36.7% (18)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
46.7% (7),0.0% (0),39.4% (13),33.3% (5),0.0% (0),18.2% (6),20.0% (3),100.0% (1),42.4% (14)
