NOI168.5,GPA.084,RC-1.03,RC27-0.99,XR-0.79,XR27-0.77,RCAA-4.08,XR+-3.88,RCWIN-0.47,XRWIN-0.45,BABIP.111
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.066,15.50,3.88,0.000,-,0.077,0.160,-,32.3%,
