打率.216,試合83,打席210,打数194,得点21,安打42,内安4,内安率9.5,２Ｂ5,３Ｂ1,本塁1,HR勝敗1-0-0,塁打52,打点14,三振60
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
9,3,4,2,1,1,0,100.0,6,0,3,.209,.264,.268,.532
