左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
33.1% (44),33.1% (44),33.1% (44),19.5% (26),19.5% (26),19.5% (26),47.4% (63),47.4% (63),47.4% (63)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
26.8% (11),0.0% (0),36.3% (33),26.8% (11),0.0% (0),16.5% (15),46.3% (19),100.0% (1),47.3% (43)
