NOI230.8,GPA.127,RC0.19,RC270.42,XR0.20,XR270.45,RCAA-1.14,XR+-1.14,RCWIN-0.13,XRWIN-0.13,BABIP.500
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.56,0.077,-,0.077,0.273,-,64.3%,
