NOI0.0,GPA.000,RC-,RC27-,XR0.00,XR27-,RCAA-,XR+-,RCWIN-,XRWIN-,BABIP-
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.000,-,-,-,-,-,
