打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Home,0.248,50,155,137,15,34,6,1,0,42,13,30,11,0,5,1,1,1,0,7,0.325,0.307,0.631
Visitor,0.247,50,177,158,17,39,4,6,7,76,26,39,10,0,5,3,1,4,0,6,0.31,0.481,0.791
