アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,63,28.1%,安打,73,67.6%
フライ,89,39.7%,四死球,31,28.7%
空三振,48,21.4%,失策出塁,4,3.7%
見三振,21,9.4%,野選,0,0.0%
犠打,3,1.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
