NOI450.4,GPA.243,RC39.26,RC274.57,XR39.39,XR274.58,RCAA6.58,XR+6.32,RCWIN0.76,XRWIN0.73,BABIP.299
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.30,0.070,15.81,4.81,0.153,42.14,0.241,0.681,5.83,29.2%,
