チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ソフトバンク,0.152,17,55,46,6,7,1,1,1,13,5,10,4,0,2,2,1,2,0,1,0.245,0.283,0.528
ロッテ,0.274,21,72,62,6,17,1,2,2,28,7,16,6,0,3,1,0,2,0,2,0.366,0.452,0.818
楽天,0.338,21,75,68,8,23,3,2,2,36,17,18,4,0,2,0,1,1,0,2,0.387,0.529,0.916
オリックス,0.194,23,76,67,6,13,4,1,0,19,5,11,5,0,3,1,0,0,0,4,0.28,0.284,0.564
西武,0.25,18,54,52,6,13,1,1,2,22,5,14,2,0,0,0,0,0,0,4,0.278,0.423,0.701
