条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.229,183,170,39,6,4,4,4,37,11,2,0,0,0.284
1塁,0.179,64,56,10,1,0,0,0,16,2,4,2,0,0.258
2塁,0.077,17,13,1,0,1,0,1,2,1,2,1,0,0.25
3塁,0.286,10,7,2,0,0,0,3,2,1,1,0,1,0.4
1・2塁,0.5,32,28,14,1,1,2,14,5,3,1,0,0,0.563
1・3塁,0.4,7,5,2,0,0,0,3,2,1,0,1,0,0.5
2・3塁,0.25,10,8,2,1,0,1,7,1,1,0,0,1,0.3
満塁,0.375,9,8,3,1,1,0,7,4,1,0,0,0,0.444
得点圏,0.348,85,69,24,3,3,3,35,16,8,4,2,2,0.434
