条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.233,276,257,60,9,0,8,8,39,16,3,0,0,0.286
1塁,0.248,112,101,25,5,0,3,8,25,10,1,0,0,0.321
2塁,0.222,33,27,6,2,0,1,4,2,5,1,0,0,0.364
3塁,0.286,7,7,2,0,0,0,2,0,0,0,0,0,0.286
1・2塁,0.286,46,42,12,2,0,0,5,11,4,0,0,0,0.348
1・3塁,0.467,17,15,7,1,0,0,8,2,1,0,0,1,0.471
2・3塁,0.167,16,12,2,0,0,1,5,2,3,0,0,1,0.313
満塁,0.333,18,12,4,1,0,0,14,0,4,0,0,2,0.444
得点圏,0.287,137,115,33,6,0,2,38,17,17,1,0,4,0.372
