NOI296.3,GPA.156,RC-0.03,RC27-0.11,XR0.03,XR270.09,RCAA-0.89,XR+-0.83,RCWIN-0.10,XRWIN-0.10,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,3.00,0.000,-,-0.111,0.125,-,33.3%,
