条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.303,34,33,10,4,0,0,4,0,0,0,1
対左打者,0.3,24,20,6,0,1,1,4,2,1,1,0
