条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.275,322,298,82,19,0,6,38,14,1,5,4
対左投手,0.304,141,135,41,7,1,6,11,6,0,0,0
