防御率1.07,試合51,先発0,救援51,連投(試)0,連投(日)0,勝利5,敗戦2,HLD39,Ｓ0,ＨＰ44,ＳＰ5,救勝5,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.714,50.2,188,762,15.0,28,3,56,13,2,2,1,0,6,6,0.81,-
