条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.296,293,274,81,16,1,4,48,13,2,3,1
対左投手,0.345,119,113,39,7,0,1,12,5,0,1,0
