打率.310,試合96,打席412,打数387,得点29,安打120,内安12,内安率10.0,２Ｂ23,３Ｂ1,本塁5,HR勝敗3-2-0,塁打160,打点40,三振60
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
18,2,2,4,1,4,1,80.0,0,0,5,.349,.343,.413,.757
