HQS率-,SQS率-,被打率.213,被BABIP.333,被出塁率.260,被長打率.277,K/BB6.55,K/912.30,BB/91.88,HR/90.34,GO/AO0.97,援護率-,IPR5.85,NHB%43.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.21,87.4%,10.12,1.19,8.39,668,7.0,0,0,52.2,9,23,46,
