防御率1.54,試合53,先発0,救援53,連投(試)0,連投(日)0,勝利0,敗戦1,HLD5,Ｓ46,ＨＰ5,ＳＰ46,救勝0,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,52.2,207,833,15.8,40,2,72,11,0,1,1,0,9,9,0.97,-
