アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,37,24.0%,安打,40,75.5%
フライ,38,24.7%,四死球,12,22.6%
空三振,56,36.4%,失策出塁,1,1.9%
見三振,16,10.4%,野選,0,0.0%
犠打,7,4.5%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
