HQS率38.5%,SQS率38.5%,被打率.208,被BABIP.285,被出塁率.269,被長打率.275,K/BB4.28,K/98.88,BB/92.08,HR/90.12,GO/AO1.06,援護率2.52,IPR2.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.77,82.5%,13.31,1.57,11.76,294,2.0,82,23,2.0,1,0,0,
