アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,216,42.9%,安打,167,75.6%
フライ,148,29.4%,四死球,47,21.3%
空三振,100,19.9%,失策出塁,5,2.3%
見三振,21,4.2%,野選,2,0.9%
犠打,18,3.6%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
