防御率3.03,試合26,先発26,救援0,連投(試)1,連投(日)1,勝利14,敗戦9,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投1,完封1,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.609,175.0,724,2614,14.9,167,10,121,41,1,6,2,0,67,59,1.19,76.9%
