種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,6.23,10,0,10,0,1,3,0,3,0,0,1,8.2,9,0,14,6,0,6,6,1.73,0.265,-,1.44
Nighter,2.56,32,0,32,1,1,6,0,7,1,1,1,31.2,25,1,29,6,3,9,9,0.98,0.219,-,3.52
