防御率3.35,試合42,先発0,救援42,連投(試)0,連投(日)0,勝利1,敗戦2,HLD9,Ｓ0,ＨＰ10,ＳＰ1,救勝1,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.333,40.1,164,660,16.4,34,1,43,12,0,3,1,0,15,15,1.14,-
