条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.219,77,73,16,2,1,1,24,4,0,0,0
対左打者,0.24,87,75,18,2,0,0,19,8,3,1,0
