NOI388.8,GPA.205,RC4.50,RC272.83,XR4.64,XR272.91,RCAA-1.31,XR+-1.23,RCWIN-0.15,XRWIN-0.14,BABIP.278
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.31,0.081,11.80,3.69,0.094,53.00,0.189,0.512,0.00,37.3%,
