HQS率-,SQS率-,被打率.340,被BABIP.500,被出塁率.417,被長打率.500,K/BB2.38,K/913.15,BB/95.54,HR/90.69,GO/AO2.20,援護率-,IPR2.17,NHB%15.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.46,80.5%,-1.28,-0.15,-0.71,39,3.1,0,0,13.0,6,2,9,
