球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,78,38.2%,141.5,5,15,10,29,38.5%,14.7%,0.278,18,5,1,1,2,0
スライダー,61,29.9%,124.8,4,17,5,27,42.6%,23.5%,0.375,8,3,0,0,0,1
フォーク,50,24.5%,134.0,6,5,5,21,32.0%,25.0%,0.118,17,2,0,4,0,0
シュート,15,7.4%,138.7,3,3,3,0,60.0%,25.0%,0.286,7,2,0,1,0,0
