防御率1.88,試合16,先発0,救援16,連投(試)0,連投(日)0,勝利2,敗戦1,HLD2,Ｓ0,ＨＰ4,ＳＰ2,救勝2,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,14.1,56,204,14.2,12,1,6,3,1,1,0,0,3,3,1.05,-
