アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,17,43.6%,安打,12,70.6%
フライ,14,35.9%,四死球,4,23.5%
空三振,6,15.4%,失策出塁,1,5.9%
見三振,0,0.0%,野選,0,0.0%
犠打,2,5.1%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
