HQS率-,SQS率-,被打率.240,被BABIP.256,被出塁率.296,被長打率.360,K/BB2.00,K/93.77,BB/91.88,HR/90.63,GO/AO1.21,援護率-,IPR4.78,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.47,89.0%,2.20,0.26,1.73,83,2.2,0,0,14.1,3,4,13,
