打率.276,試合138,打席572,打数539,得点60,安打149,内安4,内安率2.7,２Ｂ30,３Ｂ0,本塁17,HR勝敗11-5-0,塁打230,打点65,三振84
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
22,3,9,0,2,2,3,40.0,8,0,8,.231,.315,.427,.741
