球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,863,40.5%,146.6,62,134,205,291,46.5%,14.2%,0.263,209,55,3,39,7,6
スライダー,285,13.4%,130.0,31,38,67,75,47.7%,18.0%,0.259,85,22,3,12,1,2
チェンジアップ,179,8.4%,126.6,25,13,43,54,45.3%,22.3%,0.224,49,11,0,5,4,0
フォーク,178,8.3%,135.2,32,12,43,61,48.9%,30.5%,0.227,44,10,0,14,1,0
カットボール,178,8.3%,136.1,19,16,47,41,46.1%,15.7%,0.386,57,22,7,2,0,1
カーブ,170,8.0%,115.3,16,49,24,58,52.4%,25.4%,0.25,24,6,1,1,1,0
ツーシーム,98,4.6%,141.3,5,14,23,32,42.9%,9.6%,0.192,26,5,0,2,3,0
シュート,81,3.8%,144.8,1,6,28,27,43.2%,2.1%,0.429,21,9,1,2,0,0
ナックルカーブ,43,2.0%,124.8,3,7,12,15,51.2%,14.3%,0.375,8,3,1,2,1,0
スプリット,29,1.4%,137.9,7,2,6,9,51.7%,38.9%,0.556,9,5,1,4,1,0
シンカー,11,0.5%,133.6,4,1,1,4,54.5%,66.7%,0.0,1,0,0,0,0,0
縦スライダー,8,0.4%,128.6,1,1,3,1,62.5%,16.7%,0.0,3,0,0,1,0,0
高速スライダー,5,0.2%,137.0,0,0,1,2,20.0%,0.0%,0.5,2,1,0,0,0,0
スクリュー,4,0.2%,135.5,0,2,0,1,50.0%,0.0%,0.0,1,0,0,0,0,0
