HQS率-,SQS率-,被打率.250,被BABIP.309,被出塁率.301,被長打率.385,K/BB3.57,K/98.77,BB/92.45,HR/91.05,GO/AO0.81,援護率-,IPR2.85,NHB%30.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.93,82.1%,0.32,0.04,-0.52,117,2.2,0,0,25.2,9,9,25,
