防御率3.16,試合30,先発0,救援30,連投(試)1,連投(日)1,勝利0,敗戦1,HLD3,Ｓ1,ＨＰ3,ＳＰ1,救勝0,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,25.2,106,393,15.3,24,3,25,7,2,0,1,0,9,9,1.21,-
