条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,2,2,4,2,1,1,0,0,1,0,0,0,13
敗戦,6,0,8,7,9,0,5,1,0,0,0,0,36
勝敗無,0,0,1,0,0,0,3,0,0,0,0,0,4
