球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,254,76.7%,157.5,27,37,52,84,45.7%,20.3%,0.266,64,17,3,12,7,1
スライダー,70,21.1%,145.8,5,9,13,34,38.6%,18.5%,0.455,11,5,1,3,1,0
スプリット,7,2.1%,149.3,2,0,2,1,57.1%,33.3%,0.0,1,0,0,0,0,0
