HQS率-,SQS率-,被打率.286,被BABIP.360,被出塁率.331,被長打率.381,K/BB4.00,K/98.00,BB/92.00,HR/90.25,GO/AO1.12,援護率-,IPR2.12,NHB%46.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.07,69.2%,-3.62,-0.42,-4.84,288,6.1,0,0,36.0,17,19,33,
