アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,16,27.6%,安打,13,68.4%
フライ,18,31.0%,四死球,6,31.6%
空三振,18,31.0%,失策出塁,0,0.0%
見三振,5,8.6%,野選,0,0.0%
犠打,1,1.7%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
