NOI374.7,GPA.201,RC4.78,RC272.69,XR4.96,XR272.79,RCAA-1.52,XR+-1.41,RCWIN-0.18,XRWIN-0.16,BABIP.184
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.38,0.120,10.67,4.00,0.182,55.00,0.273,0.542,0.00,35.9%,
