HQS率-,SQS率-,被打率.246,被BABIP.238,被出塁率.323,被長打率.526,K/BB1.71,K/97.20,BB/94.20,HR/92.40,GO/AO0.78,援護率-,IPR2.14,NHB%35.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.64,90.9%,-1.55,-0.18,-2.05,65,5.0,0,0,15.0,7,6,10,
