HQS率-,SQS率-,被打率.200,被BABIP.216,被出塁率.289,被長打率.225,K/BB0.60,K/92.19,BB/93.65,HR/90.00,GO/AO1.42,援護率-,IPR99.00,NHB%33.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.26,100.0%,4.48,0.53,4.07,77,0.0,0,0,12.1,0,4,12,
