チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
巨人,5.4,2,0,2,0,0,0,0,0,0,0,0,1.2,2,0,1,1,0,2,1,1.8,0.4,-,0.83
阪神,18.0,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,1,2,0,2,2,3.0,0.333,-,0.5
広島,0.0,2,0,2,0,0,0,0,0,0,0,0,2.2,4,0,6,2,0,0,0,2.25,0.364,-,99.0
ヤクルト,0.0,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,2,0,0,0,0,0.0,0.0,-,99.0
中日,27.0,1,0,1,0,0,0,0,0,0,0,0,0.2,2,1,1,1,0,2,2,4.5,0.5,-,0.33
