打率.256,試合102,打席373,打数320,得点25,安打82,内安6,内安率7.3,２Ｂ17,３Ｂ1,本塁4,HR勝敗4-0-0,塁打113,打点25,三振67
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
42,1,1,6,4,1,0,100.0,5,0,11,.232,.341,.353,.694
