HQS率6.7%,SQS率6.7%,被打率.232,被BABIP.265,被出塁率.328,被長打率.393,K/BB1.82,K/97.67,BB/94.20,HR/91.26,GO/AO0.55,援護率3.92,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.46,76.8%,-9.16,-1.06,-7.07,317,0.0,85,37,6.0,0,0,1,
