HQS率47.8%,SQS率56.5%,被打率.236,被BABIP.294,被出塁率.279,被長打率.339,K/BB4.38,K/98.40,BB/91.92,HR/90.68,GO/AO1.09,援護率3.74,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.49,81.3%,12.34,1.43,7.93,579,0.0,166,69,0.0,0,0,0,
