種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,2.83,12,12,0,6,5,0,0,0,0,0,0,86.0,76,9,81,20,1,27,27,1.12,0.235,4.35,-
Nighter,2.32,11,11,0,4,5,0,0,0,0,0,0,73.2,66,3,68,14,1,20,19,1.09,0.238,2.96,-
