条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,0,1,0,5,1,0,3,0,0,0,0,10
敗戦,5,3,7,3,6,1,1,1,2,0,0,0,29
勝敗無,0,1,1,0,4,2,0,0,0,0,0,0,8
