種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,2.13,13,13,0,6,5,0,0,0,0,0,0,93.0,81,5,93,16,0,23,22,1.04,0.233,3.6,-
Visitor,3.24,10,10,0,4,5,0,0,0,0,0,0,66.2,61,7,56,18,2,24,24,1.19,0.241,3.91,-
