球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,1029,43.5%,147.8,58,208,215,335,46.7%,11.9%,0.296,250,74,5,42,14,2
カーブ,514,21.8%,113.6,49,132,66,186,48.1%,25.0%,0.253,91,23,0,11,6,0
フォーク,360,15.2%,134.5,93,33,54,108,50.0%,42.5%,0.135,111,15,1,40,5,0
チェンジアップ,286,12.1%,123.0,60,28,42,91,45.5%,35.9%,0.182,110,20,4,47,5,0
カットボール,174,7.4%,132.8,18,39,25,62,47.1%,24.7%,0.256,39,10,2,9,2,0
