防御率2.59,試合23,先発23,救援0,連投(試)0,連投(日)0,勝利10,敗戦10,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投3,完封1,無四球1
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,159.2,646,2363,14.8,142,12,149,34,2,2,3,0,47,46,1.10,73.9%
