アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,161,34.6%,安打,142,78.5%
フライ,148,31.8%,四死球,36,19.9%
空三振,119,25.6%,失策出塁,2,1.1%
見三振,30,6.5%,野選,1,0.6%
犠打,7,1.5%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
