防御率3.86,試合26,先発0,救援26,連投(試)0,連投(日)0,勝利1,敗戦0,HLD7,Ｓ1,ＨＰ8,ＳＰ2,救勝1,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
1.000,25.2,119,453,17.6,29,1,20,14,1,0,1,0,11,11,1.68,-
