打率.299,試合83,打席343,打数301,得点32,安打90,内安10,内安率11.1,２Ｂ8,３Ｂ1,本塁4,HR勝敗4-0-0,塁打112,打点33,三振56
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
35,2,2,2,3,1,1,50.0,4,0,4,.344,.372,.372,.745
